$ID,$ID_NAME,Description,Icon,IconTooltip,Link_Collections,Link_Cubes,Link_Maps,Link_Maps_Exploration,Link_Monster,Link_Monsters,Link_RecipeMaterial,Link_RecipeTarget,MonsterElement,MonsterRace,Name,Price,Stat_Height,Stat_Legs,Stat_Weight,TimeCoolDown,TimeLifeTime,Tradability,Type,TypeCard,Weight
92110,Episode_Select_Monster_NoTrade,使用すると、次のアイテムの中から選んだ1枚だけを獲得できます。{nl}{#ff0000}※中のアイテムは獲得時にチーム倉庫移動のみ可能なアイテムに変化します。{/}{nl}- ストーンホエールカード{nl}- ジャウラカード{nl}- ヌアエーレカード{nl}- ゲージングゴーレム,icon_item_event_roulette_master,,,,,,,,,,,,[エピソード]モンスターカード選択カードブック,0,,,,0.0,0.0,FFFT,4,,0.0
644001,card_Gaigalas,[スロット装着効果]追加ダメージ+[★*10],icon_item_card_util,027_boss_gaigalas,,,,,41220,,,,1,0,ガイガラスカード,500,205,4,201,0.0,0.0,TTTT,4,5,1.0
644002,card_GazingGolem,[スロット装着効果] 攻撃を受けたとき[★]%の確率でペインバリア1レベルを使用(持続時間15秒),icon_item_card_util,108_boss_gazinggolem,,,,,47322,,,,0,4,ゲージングゴーレムカード,500,324,2,4860,0.0,0.0,TTTT,4,5,1.0
644003,card_Gorgon,[スロット装着効果] 打系防御力+[★*10],icon_item_card_def,064_boss_gorgon,,,,,800042,,,,0,1,ゴルゴンカード,500,190,4,1360,0.0,0.0,TTTT,4,1,1.0
644004,card_Golem,[スロット装着効果] HPポーション類を使用時、10秒間物理防御力+[★]%,icon_item_card_def,003_boss_golem,,,,,450221,,,,1,4,ゴーレムカード,500,215,2,6192,0.0,0.0,TTTT,4,1,1.0
644005,card_Grinender,[スロット装着効果] 空中型モンスターに与えるダメージ[★]%アップ,icon_item_card_atk,056_boss_grinender,,,,,41374,,,,2,4,グライネンダーカード,500,305,1,214,0.0,0.0,TTTT,4,0,1.0
644006,card_Glass_mole,[スロット装着効果]SPポーション類を使用時、6秒間物理ダメージ+[★]%,icon_item_card_atk,012_boss_glass_mole,,,,,41367,,,,4,0,グラスモールカード,500,192,4,860,0.0,0.0,TTTT,4,0,1.0
644007,card_ginklas,[スロット装着効果] プレート系鎧装備の対象に与えるダメージ[★/2]%アップ,icon_item_card_atk,091_boss_ginklas,[642013],,,,41208,,[18018],,2,4,ギンクラスカード,500,320,2,1053,0.0,0.0,TTTT,4,0,1.0
644008,card_NetherBovine,[スロット装着効果] 力+[★],icon_item_card_stat,026_boss_netherbovine,,,,,800001,,,,0,1,ネザーボバインカード,500,195,4,966,0.0,0.0,TTTT,4,4,1.0
644009,card_necrovanter,[スロット装着効果]追加ダメージ+[★*10],icon_item_card_util,044_boss_necrovanter,[642011],"[642907, 642919, 642941]",,,800002,,,,0,1,ネクロヴェンターカード,500,416,1,144,0.0,0.0,TTTT,4,5,1.0
644010,card_deadbone,[スロット装着効果]物理クリティカル攻撃力+[★×20],icon_item_card_atk,014_boss_deadbone,,,,,41203,,,,0,4,デッドボーンカード,500,333,2,207,0.0,0.0,TTTT,4,0,1.0
644011,card_Devilglove,[スロット装着効果] 変異型モンスターに与えるダメージ[★]%アップ,icon_item_card_atk,072_boss_devilglove,,,,,41385,,,,0,4,デビルグローブカード,500,127,5,98,0.0,0.0,TTTT,4,0,1.0
644012,card_Denoptic,[スロット装着効果] 魔法防御力+[★*10],icon_item_card_def,024_boss_denoptic,,,,,41368,,,,7,4,デノプティックカード,500,388,6,205,0.0,0.0,TTTT,4,1,1.0
644014,card_Ravinepede,[スロット装着効果] STAポーション類効果+[★]%,icon_item_card_util,025_boss_ravinepede,,,,,41236,,,,7,5,ラヴァインピードカード,500,210,1,164,0.0,0.0,TTTT,4,5,1.0
644015,card_Rajatoad,[スロット装着効果] 突系武器着用時、物理攻撃力+[★*7],icon_item_card_atk,097_boss_rajatoad,[642013],,,,41226,,,,4,0,ラジャトードカード,500,151,4,275,0.0,0.0,TTTT,4,0,1.0
644016,card_Rocktortuga,[スロット装着効果] 地属性モンスター討伐時、[★]%の確率でSP 5%回復,icon_item_card_util,046_boss_rocktortuga,,,,,41233,,,,1,4,ロックトルトゥーガカード,500,400,2,2472,0.0,0.0,TTTT,4,5,1.0
644017,card_lecifer,[スロット装着効果]魔法クリティカル攻撃力+[★×10],icon_item_card_atk,030_boss_lecifer,,,,,800043,,,,0,1,レキシファーカード,500,213,2,123,0.0,0.0,TTTT,4,0,1.0
644018,card_Reaverpede,[スロット装着効果] 中型対象に与えるダメージ[★/2]%アップ,icon_item_card_atk,051_boss_reaverpede,,,,,800044,,,,7,2,リーヴァピードカード,500,276,6,1200,0.0,0.0,TTTT,4,0,1.0
644019,card_spector_gh,[スロット装着効果] SPポーション類効果+[★]%,icon_item_card_util,010_boss_spector_gh,,,,,800045,,,,0,1,リカウスカード,500,230,2,76,0.0,0.0,TTTT,4,5,1.0
644022,card_mineloader,[スロット装着効果]攻撃すると[★/3]%の確率で相手に3秒間感電状態付与{nl}(感電デバフのダメージは1に固定されます。),icon_item_card_util,092_boss_mineloader,[642014],"[642904, 642921]",,,800024,,,,5,4,マインローダーカード,500,345,4,863,0.0,0.0,TTTT,4,5,1.0
644023,card_Malletwyvern,[スロット装着効果] 大型モンスターから攻撃を受けたとき[★]%の確率でSP 3%回復{nl}クールタイム5秒,icon_item_card_util,106_malletwyvern,,,,,47502,,,,4,0,マレットワイバーンカード,500,222,4,1605,0.0,0.0,TTTT,4,5,1.0
