$ID,$ID_NAME,Armor,Description,Element,Icon,Level,Link_Items,Link_Maps,Name,Race,Rank,Size,Stat_CON,Stat_DEX,Stat_INT,Stat_SPR,Stat_STR,Type
10001,Stone,5,クォレルシューターが使うこともあります。,6,icon_item_nothing,1,,"[{""Map"": 1151, ""Population"": 1, ""TimeRespawn"": 60.0}]",石,,2,0,2,2,2,2,2,0
10005,Bomb,5,名前はそれらしですが、特に他の爆弾と違いはありません。,6,icon_item_nothing,1,,"[{""Map"": 3830, ""Population"": 0, ""TimeRespawn"": 60.0}]",ゴブリン撲滅用爆弾,,2,0,2,2,2,2,2,0
10006,Bomb_Score,5,モンスター,6,icon_item_nothing,1,,,爆弾ポイント,,2,0,2,2,2,2,2,0
10007,Bomb_Defence,5,モンスター,6,icon_item_nothing,1,,,時限爆弾,,2,0,2,2,2,2,2,0
10008,Bomb_Sin,5,モンスター,6,icon_item_nothing,1,,,時限爆弾,,2,0,2,2,2,2,2,0
10009,StoneOBB,5,モンスター,6,icon_item_nothing,1,,,OBB石,,2,0,2,2,2,2,2,0
10010,Wizard_M,5,モンスター,6,icon_item_nothing,1,,,男性魔術師,,2,0,2,2,2,2,2,0
10011,Bomb_RokasMission,5,モンスター,6,icon_item_nothing,1,,,峡谷爆弾,,2,0,2,2,2,2,2,0
10015,Wizard_F,5,モンスター,6,icon_item_nothing,1,,,女性魔術師,,2,0,2,2,2,2,2,0
10016,Symbol_defence,5,モンスター,6,icon_item_nothing,1,,,破損した封印,,2,0,2,2,2,2,2,0
10018,Symbol_sin,5,モンスター,6,icon_item_nothing,1,,,罪悪の象徴,,2,0,2,2,2,2,2,0
10019,Symbol_Rescue,5,モンスター,6,icon_item_nothing,1,,,(臨時)監獄統制装置,,2,0,2,2,2,2,2,0
10020,SCS_M2_Mon,5,モンスター,6,icon_item_nothing,1,,"[{""Map"": 3760, ""Population"": 20, ""TimeRespawn"": 60.0}]",警備兵,,2,0,2,2,2,2,2,0
10021,SCS_M2_Mon_DeadAin,5,モンスター,6,icon_item_nothing,1,,,倒れた警備兵,,2,0,2,2,2,2,2,0
10022,SCS_M2_Mon_Guard,5,モンスター,6,icon_item_nothing,1,,"[{""Map"": 1021, ""Population"": 1, ""TimeRespawn"": 0.001}, {""Map"": 1231, ""Population"": 1, ""TimeRespawn"": 60.0}, {""Map"": 3350, ""Population"": 3, ""TimeRespawn"": 60.0}]",シャウレイ警備兵,,2,0,2,2,2,2,2,0
10023,Aos_Soldier,5,モンスター,6,icon_item_nothing,1,,"[{""Map"": 1082, ""Population"": 10, ""TimeRespawn"": 60.0}, {""Map"": 1311, ""Population"": 0, ""TimeRespawn"": 60.0}, {""Map"": 1511, ""Population"": 0, ""TimeRespawn"": 60.0}]",傭兵,,2,0,2,2,2,2,2,0
10028,Aos_Hero_Arc,5,モンスター,6,icon_item_nothing,1,,,傭兵将校,,2,0,2,2,2,2,2,0
10029,Aos_Hero_War,5,モンスター,6,icon_item_nothing,1,,,傭兵隊長,,2,0,2,2,2,2,2,0
10030,War_Shield,5,モンスター,6,icon_item_nothing,1,,,盾傭兵,,2,0,2,2,2,2,2,0
10031,Aos_Soldier_Cart,5,モンスター,6,icon_item_nothing,1,,,傭兵,,2,0,2,2,2,2,2,0
10032,Silvertransporter_m,5,モンスター,6,icon_item_nothing,1,,"[{""Map"": 1021, ""Population"": 7, ""TimeRespawn"": 60.0}, {""Map"": 1032, ""Population"": 3, ""TimeRespawn"": 60.0}, {""Map"": 1231, ""Population"": 1, ""TimeRespawn"": 60.0}, {""Map"": 1711, ""Population"": 4, ""TimeRespawn"": 60.0}]",戦闘兵,,2,0,2,2,2,2,2,0
10033,Silvertransporter_m_Quest,5,モンスター,6,icon_item_nothing,1,,"[{""Map"": 981, ""Population"": 1, ""TimeRespawn"": 60.0}, {""Map"": 1032, ""Population"": 2, ""TimeRespawn"": 60.0}, {""Map"": 1081, ""Population"": 6, ""TimeRespawn"": 60.0}, {""Map"": 1251, ""Population"": 4, ""TimeRespawn"": 60.0}, {""Map"": 1641, ""Population"": 10, ""TimeRespawn"": 60.0}, {""Map"": 1651, ""Population"": 1, ""TimeRespawn"": 60.0}, {""Map"": 1661, ""Population"": 2, ""TimeRespawn"": 60.0}, {""Map"": 1681, ""Population"": 22, ""TimeRespawn"": 60.0}, {""Map"": 3260, ""Population"": 1, ""TimeRespawn"": 60.0}]",戦闘兵,,2,0,2,2,2,2,2,0
10034,Silvertransporter_m_DESERTER,5,モンスター,6,icon_item_nothing,1,,,脱走兵,,2,0,2,2,2,2,2,0
10035,Silvertransporter_m_Quest_2,5,モンスター,6,icon_item_nothing,1,,,正気を失った戦闘兵,,2,0,2,2,2,2,2,0
10036,Tied_soldier,5,モンスター,6,icon_item_nothing,1,,"[{""Map"": 1082, ""Population"": 10, ""TimeRespawn"": 60.0}]",捕らわれた戦闘員,,2,0,2,2,2,2,2,0
10037,Silvertransporter_m_Quest_3,5,モンスター,6,icon_item_nothing,1,,"[{""Map"": 1151, ""Population"": 10, ""TimeRespawn"": 60.0}, {""Map"": 1180, ""Population"": 1, ""TimeRespawn"": 60.0}]",戦闘兵,,2,0,2,2,2,2,2,0
10040,PhantomKnight,5,モンスター,6,icon_item_nothing,1,,,幽霊鎧,,2,0,2,2,2,2,2,0
10041,PhantomKnight_S,5,モンスター,6,icon_item_nothing,1,,,幽霊鎧,,2,0,2,2,2,2,2,0
10042,PhantomKnight_Elite,5,モンスター,6,icon_item_nothing,1,,,大型幽霊鎧,,2,0,2,2,2,2,2,0
10043,Stone01,5,モンスター,6,icon_item_nothing,1,,"[{""Map"": 1041, ""Population"": 9, ""TimeRespawn"": 60.0}, {""Map"": 1271, ""Population"": 31, ""TimeRespawn"": 60.0}, {""Map"": 1601, ""Population"": 15, ""TimeRespawn"": 60.0}, {""Map"": 1741, ""Population"": 3, ""TimeRespawn"": 60.0}, {""Map"": 2541, ""Population"": 7, ""TimeRespawn"": 60.0}, {""Map"": 2581, ""Population"": 0, ""TimeRespawn"": 60.0}, {""Map"": 3540, ""Population"": 10, ""TimeRespawn"": 30.0}, {""Map"": 3580, ""Population"": 4, ""TimeRespawn"": 15.0}]",石,,2,0,2,2,2,2,2,0
10044,Stone02,5,モンスター,6,icon_item_nothing,1,,"[{""Map"": 1601, ""Population"": 15, ""TimeRespawn"": 60.0}]",石,,2,0,2,2,2,2,2,0
10045,Stone03,5,モンスター,6,icon_item_nothing,1,,"[{""Map"": 1261, ""Population"": 0, ""TimeRespawn"": 60.0}, {""Map"": 1441, ""Population"": 1, ""TimeRespawn"": 60.0}, {""Map"": 1601, ""Population"": 15, ""TimeRespawn"": 60.0}, {""Map"": 3270, ""Population"": 1, ""TimeRespawn"": 0.001}, {""Map"": 3420, ""Population"": 1, ""TimeRespawn"": 60.0}]",石,,2,0,2,2,2,2,2,0
10046,Silvertransporter_m_dir,5,モンスター,6,icon_item_nothing,1,,,戦闘兵,,2,0,2,2,2,2,2,0
10094,MeteorStrike,5,モンスター,6,icon_item_nothing,1,,,MeteorStrike,,2,0,2,2,2,2,2,0
10096,Blizzard,5,モンスター,6,icon_item_nothing,1,,,Blizzard,,2,0,2,2,2,2,2,0
10097,LivingFlame,5,モンスター,6,icon_item_nothing,1,,,LivingFlame,,2,0,2,2,2,2,2,0
10099,HiddenFlameSeed,5,モンスター,6,icon_item_nothing,1,,,HiddenFlameSeed,,2,0,2,2,2,2,2,0
10120,GhostGirl,5,モンスター,6,icon_item_nothing,1,,,信徒の幽霊,,2,0,2,2,2,2,2,0
10121,GhostGirl_Add,5,モンスター,6,icon_item_nothing,1,,,信徒の幽霊,,2,0,2,2,2,2,2,0
10130,GhostBoy,5,モンスター,6,icon_item_nothing,1,,,幽霊少年,,2,0,2,2,2,2,2,0
10131,GhostBoy_S,5,モンスター,6,icon_item_nothing,1,,,信徒の幽霊,,2,0,2,2,2,2,2,0
10140,GhostOldWoman,5,モンスター,6,icon_item_nothing,1,,,幽霊おばさん,,2,0,2,2,2,2,2,0
10150,Ghostman,5,モンスター,6,icon_item_nothing,1,,,幽霊おじさん,,2,0,2,2,2,2,2,0
10151,Ghostman_L,5,モンスター,6,icon_item_nothing,1,,,信徒の幽霊,,2,0,2,2,2,2,2,0
10152,Ghostman_Big,5,モンスター,6,icon_item_nothing,1,,,信徒の幽霊リーダー,,2,0,2,2,2,2,2,0
10153,Ghostman_Copy,5,モンスター,6,icon_item_nothing,1,,,信徒の幽霊(分身),,2,0,2,2,2,2,2,0
10160,Kiyak,5,モンスター,6,icon_item_nothing,1,,,ツノミツメ,,2,0,2,2,2,2,2,0
10170,Kyokyo,5,モンスター,6,icon_item_nothing,1,,,ハネミツメ,,2,0,2,2,2,2,2,0
10210,Believeroldman,5,モンスター,6,icon_item_nothing,1,,,信徒,,2,0,2,2,2,2,2,0
10230,zombiehoplite,5,モンスター,6,icon_item_nothing,1,,,ゾンビ重歩兵,,2,0,2,2,2,2,2,0
10250,Monsterbook,5,モンスター,6,icon_item_nothing,1,,,マジックブック,,2,0,2,2,2,2,2,0
10260,Pumpkin,5,モンスター,6,icon_item_nothing,1,,,熟していないカボチャ,,2,0,2,2,2,2,2,0
10261,Pumpkin2,5,モンスター,6,icon_item_nothing,1,,,よく死ぬタマネギ,,2,0,2,2,2,2,2,0
10262,Pumpkin3,5,モンスター,6,icon_item_nothing,1,,,体力のあるタマネギ,,2,0,2,2,2,2,2,0
10263,Pumpkin_MagicTarget,5,モンスター,6,icon_item_nothing,1,,,カボチャターゲット,,2,0,2,2,2,2,2,0
10280,Palisade,5,モンスター,6,icon_item_nothing,1,,,ステイクスタッケイド,,2,0,2,2,2,2,2,0
10281,TR_Defense_Symbol,5,モンスター,6,icon_item_nothing,1,,,ディフェンス守護物,,2,0,2,2,2,2,2,0
