$ID,$ID_NAME,Description,DescriptionRequired,Icon,IsToggleable,LevelMax,Link_Jobs,Link_Skills,Name,Unlock,UnlockArgs,UpgradePrice
10015,DaggerMastery,* 단검 착용 중 특성 레벨당 대미지 증가 4% (서브 슬롯 사용 시에는 단검을 2개 착용해야 온전히 적용됨. 1개 착용시에는 절반만 적용){nl},{nl}{b}캐릭터 1레벨 이상{b},ability_common_daggermastery,False,5,[5010],,단검 마스터리: 급습,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""5010"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}",
10018,MaxWeightAbil,* 캐릭터 인벤토리의 휴대 가능무게가 특성 레벨당 20 증가{nl},{nl}{b}캐릭터 1레벨 이상{b}{nl}{b}캐릭터 1레벨 이상{b}{nl}{b}캐릭터 1레벨 이상{b}{nl}{b}캐릭터 1레벨 이상{b},ability_common_maxweightabil,False,10,"[3005, 4002, 4007, 5006]",,최대 무게 증가,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""3005"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}, ""4002"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}, ""4007"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}, ""5006"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}",
10019,CompMastery1,* 컴패니언의 스태미나가 소모되는 주기 시간이 특성 레벨당{nl}    10초 증가{nl},{nl}{b}캐릭터 1레벨 이상{b},ability_common_compmastery1,False,5,[3014],,컴패니언 마스터리: 끈기,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""3014"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}",
10020,CompMastery2,"* 컴패니언의 HP가 50% 이하일 때, 2초 동안 [응급치료]{nl}    효과를 받아 HP를 지속적으로 회복{nl}* 2레벨 부터 지속시간이 특성 레벨당 1초씩 증가{nl}* [응급치료] 이후에는 10분 동안 [응급치료 불가] 상태{nl}",{nl}{b}캐릭터 1레벨 이상{b}{nl}{b}캐릭터 1레벨 이상{b},ability_common_compmastery2,False,4,"[3002, 3014]",,컴패니언 응급치료,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""3002"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}, ""3014"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}",
10026,THMace_SR,* 광역 공격 비율 5 증가{nl},{nl}{b}캐릭터 100레벨 이상{b},ability_cleric_thmace2,False,1,[4011],,둔기 마스터리: 팔라딘,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""4011"": {""UnlockArgNum"": ""100"", ""UnlockArgStr"": """"}}",
10027,THMace_BLKBREAK,* 블록 관통 85 증가{nl},{nl}{b}캐릭터 100레벨 이상{b},ability_cleric_thmace,False,1,[4009],,둔기 마스터리: 몽크,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""4009"": {""UnlockArgNum"": ""100"", ""UnlockArgStr"": """"}}",
10028,SwordMastery_DEForATK,* [방패]와 함께 [한손 무기] 착용 시 무기 공격력의 10%를 물리 방어력으로 가져옴{nl}* (수치는 메인 슬롯과 서브 슬롯 중복 적용됨){nl},{nl}{b}캐릭터 100레벨 이상{b},ability_warrior_sword2,False,1,[1001],,방패 마스터리: 소드맨,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""1001"": {""UnlockArgNum"": ""100"", ""UnlockArgStr"": """"}}",
10033,StaffMastery_Splash,* 광역 공격 비율 6 증가{nl}* [위저드: 신속] 특성과 그룹 특성{nl},{nl}{b}캐릭터 1레벨 이상{b},ability_wizard_thstaff,True,1,[2001],,위저드: 광역,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""2001"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}",
10034,StaffMastery_Casting,* 캐스팅 시간 50% 감소{nl}* [위저드: 광역] 특성과 그룹 특성{nl},{nl}{b}캐릭터 1레벨 이상{b},ability_wizard_staffmastery,True,1,[2001],,위저드: 신속,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""2001"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}",
10036,CompMastery3,* 몬스터가 사용하는 광역 공격으로 컴패니언이 받는 피해가 최대 70% 감소{nl},{nl}{b}캐릭터 1레벨 이상{b},ability_common_compmastery1,False,1,[3002],,컴패니언 마스터리: 회피,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""3002"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}",
