$ID,$ID_NAME,Armor,Description,Element,Icon,Level,Link_Items,Link_Maps,Name,Race,Rank,Size,Stat_CON,Stat_DEX,Stat_INT,Stat_SPR,Stat_STR,Type
10001,Stone,5,쿼렐슈터가 사용하기도 합니다.,6,icon_item_nothing,1,,"[{""Map"": 1151, ""Population"": 1, ""TimeRespawn"": 60.0}]",돌,,2,0,2,2,2,2,2,0
10005,Bomb,5,명칭은 그럴 듯하지만 특별히 다른 폭탄과 다르지 않습니다.,6,icon_item_nothing,1,,"[{""Map"": 3830, ""Population"": 0, ""TimeRespawn"": 60.0}]",부베 박멸용 폭탄,,2,0,2,2,2,2,2,0
10006,Bomb_Score,5,몬스터,6,icon_item_nothing,1,,,폭탄점수,,2,0,2,2,2,2,2,0
10007,Bomb_Defence,5,몬스터,6,icon_item_nothing,1,,,시한폭탄,,2,0,2,2,2,2,2,0
10008,Bomb_Sin,5,몬스터,6,icon_item_nothing,1,,,시한폭탄,,2,0,2,2,2,2,2,0
10009,StoneOBB,5,몬스터,6,icon_item_nothing,1,,,OBB돌,,2,0,2,2,2,2,2,0
10010,Wizard_M,5,몬스터,6,icon_item_nothing,1,,,남자 마법사,,2,0,2,2,2,2,2,0
10011,Bomb_RokasMission,5,몬스터,6,icon_item_nothing,1,,,협곡 폭탄,,2,0,2,2,2,2,2,0
10015,Wizard_F,5,몬스터,6,icon_item_nothing,1,,,여자 마법사,,2,0,2,2,2,2,2,0
10016,Symbol_defence,5,몬스터,6,icon_item_nothing,1,,,파손된 봉인,,2,0,2,2,2,2,2,0
10018,Symbol_sin,5,몬스터,6,icon_item_nothing,1,,,죄악의 상징,,2,0,2,2,2,2,2,0
10019,Symbol_Rescue,5,몬스터,6,icon_item_nothing,1,,,(임시)감옥 통제 장치,,2,0,2,2,2,2,2,0
10020,SCS_M2_Mon,5,몬스터,6,icon_item_nothing,1,,"[{""Map"": 3760, ""Population"": 20, ""TimeRespawn"": 60.0}]",경비병,,2,0,2,2,2,2,2,0
10021,SCS_M2_Mon_DeadAin,5,몬스터,6,icon_item_nothing,1,,,쓰러진 경비병,,2,0,2,2,2,2,2,0
10022,SCS_M2_Mon_Guard,5,몬스터,6,icon_item_nothing,1,,"[{""Map"": 1021, ""Population"": 1, ""TimeRespawn"": 0.001}, {""Map"": 1231, ""Population"": 1, ""TimeRespawn"": 60.0}, {""Map"": 3350, ""Population"": 3, ""TimeRespawn"": 60.0}]",샤울레이 경비병,,2,0,2,2,2,2,2,0
