$ID,$ID_NAME,BonusBoots,BonusGloves,BonusSubWeapon,BonusTopAndBottom,BonusWeapon,Description,Icon,Link_Collections,Link_Cubes,Link_Maps,Link_Maps_Exploration,Link_Monsters,Link_RecipeMaterial,Link_RecipeTarget,Link_Skill,Name,Price,TimeCoolDown,TimeLifeTime,Tradability,Type,TypeGem,Weight
643501,gem_circle_1,,,"[{""Stat"": 38, ""Value"": 72}, {""Stat"": 63, ""Value"": -3}, {""Stat"": 38, ""Value"": 105}, {""Stat"": 63, ""Value"": -5}, {""Stat"": 38, ""Value"": 138}, {""Stat"": 63, ""Value"": -7}, {""Stat"": 38, ""Value"": 172}, {""Stat"": 63, ""Value"": -9}, {""Stat"": 38, ""Value"": 207}, {""Stat"": 63, ""Value"": -11}, {""Stat"": 38, ""Value"": 240}, {""Stat"": 63, ""Value"": -13}, {""Stat"": 38, ""Value"": 273}, {""Stat"": 63, ""Value"": -15}, {""Stat"": 38, ""Value"": 307}, {""Stat"": 63, ""Value"": -17}, {""Stat"": 38, ""Value"": 342}, {""Stat"": 63, ""Value"": -19}, {""Stat"": 38, ""Value"": 375}, {""Stat"": 63, ""Value"": -21}]",,"[{""Stat"": 38, ""Value"": 72}, {""Stat"": 63, ""Value"": -3}, {""Stat"": 38, ""Value"": 105}, {""Stat"": 63, ""Value"": -5}, {""Stat"": 38, ""Value"": 138}, {""Stat"": 63, ""Value"": -7}, {""Stat"": 38, ""Value"": 172}, {""Stat"": 63, ""Value"": -9}, {""Stat"": 38, ""Value"": 207}, {""Stat"": 63, ""Value"": -11}, {""Stat"": 38, ""Value"": 240}, {""Stat"": 63, ""Value"": -13}, {""Stat"": 38, ""Value"": 273}, {""Stat"": 63, ""Value"": -15}, {""Stat"": 38, ""Value"": 307}, {""Stat"": 63, ""Value"": -17}, {""Stat"": 38, ""Value"": 342}, {""Stat"": 63, ""Value"": -19}, {""Stat"": 38, ""Value"": 375}, {""Stat"": 63, ""Value"": -21}]",A gem that can be found in a dungeon. {nl}It is able to enhance equipment by equipping it in a socket. {nl}When charged it exerts a stronger power. Right-click to equip it to an equipment.,item_icon_circle150,"[642093, 642093, 642093, 642093, 642093, 642136, 642136, 642136, 642136, 642136, 642136, 642136, 642136, 642136, 642144]","[642905, 642907, 642909, 642913, 642918, 642919, 642921, 642922]","[{""Chance"": 100, ""Map"": 1051, ""Quantity_MAX"": 1, ""Quantity_MIN"": 1}, {""Chance"": 100, ""Map"": 2087, ""Quantity_MAX"": 1, ""Quantity_MIN"": 1}]",,"[{""Chance"": 0.0, ""Monster"": 41209, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 41348, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 41382, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 57860, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 47323, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 47502, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 57067, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 57076, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 57079, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 57091, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 57096, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 57115, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 57311, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]","[12021, 13020, 33023, 33064, 34022, 34058]",,,Red Gem,100,0.0,0.0,TTFT,12,1,1.0
643502,gem_square_1,,,"[{""Stat"": 36, ""Value"": 72}, {""Stat"": 63, ""Value"": -3}, {""Stat"": 36, ""Value"": 105}, {""Stat"": 63, ""Value"": -5}, {""Stat"": 36, ""Value"": 138}, {""Stat"": 63, ""Value"": -7}, {""Stat"": 36, ""Value"": 172}, {""Stat"": 63, ""Value"": -9}, {""Stat"": 36, ""Value"": 207}, {""Stat"": 63, ""Value"": -11}, {""Stat"": 36, ""Value"": 240}, {""Stat"": 63, ""Value"": -13}, {""Stat"": 36, ""Value"": 273}, {""Stat"": 63, ""Value"": -15}, {""Stat"": 36, ""Value"": 307}, {""Stat"": 63, ""Value"": -17}, {""Stat"": 36, ""Value"": 342}, {""Stat"": 63, ""Value"": -19}, {""Stat"": 36, ""Value"": 375}, {""Stat"": 63, ""Value"": -21}]",,"[{""Stat"": 36, ""Value"": 72}, {""Stat"": 63, ""Value"": -3}, {""Stat"": 36, ""Value"": 105}, {""Stat"": 63, ""Value"": -5}, {""Stat"": 36, ""Value"": 138}, {""Stat"": 63, ""Value"": -7}, {""Stat"": 36, ""Value"": 172}, {""Stat"": 63, ""Value"": -9}, {""Stat"": 36, ""Value"": 207}, {""Stat"": 63, ""Value"": -11}, {""Stat"": 36, ""Value"": 240}, {""Stat"": 63, ""Value"": -13}, {""Stat"": 36, ""Value"": 273}, {""Stat"": 63, ""Value"": -15}, {""Stat"": 36, ""Value"": 307}, {""Stat"": 63, ""Value"": -17}, {""Stat"": 36, ""Value"": 342}, {""Stat"": 63, ""Value"": -19}, {""Stat"": 36, ""Value"": 375}, {""Stat"": 63, ""Value"": -21}]",A gem that can be found in a dungeon. {nl}It is able to enhance equipment by equipping it in a socket. {nl}When charged it exerts a stronger power. Right-click to equip it to an equipment.,item_icon_square150,"[642093, 642093, 642093, 642093, 642137]","[642905, 642907, 642909, 642913, 642918, 642919, 642921, 642922]","[{""Chance"": 100, ""Map"": 1051, ""Quantity_MAX"": 1, ""Quantity_MIN"": 1}]",,"[{""Chance"": 0.0, ""Monster"": 41209, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 41348, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 41382, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 57860, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 47323, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 47502, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 57067, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 57076, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 57079, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 57091, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 57096, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 57115, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 57311, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]","[10016, 11021, 12021, 12022, 33023, 33065, 34059]",,,Blue Gem,100,0.0,0.0,TTFT,12,1,1.0
643503,gem_diamond_1,,,"[{""Stat"": 61, ""Value"": 128}, {""Stat"": 57, ""Value"": -3}, {""Stat"": 61, ""Value"": 187}, {""Stat"": 57, ""Value"": -5}, {""Stat"": 61, ""Value"": 246}, {""Stat"": 57, ""Value"": -7}, {""Stat"": 61, ""Value"": 307}, {""Stat"": 57, ""Value"": -9}, {""Stat"": 61, ""Value"": 368}, {""Stat"": 57, ""Value"": -11}, {""Stat"": 61, ""Value"": 427}, {""Stat"": 57, ""Value"": -13}, {""Stat"": 61, ""Value"": 486}, {""Stat"": 57, ""Value"": -15}, {""Stat"": 61, ""Value"": 547}, {""Stat"": 57, ""Value"": -17}, {""Stat"": 61, ""Value"": 608}, {""Stat"": 57, ""Value"": -19}, {""Stat"": 61, ""Value"": 667}, {""Stat"": 57, ""Value"": -21}]",,"[{""Stat"": 61, ""Value"": 128}, {""Stat"": 57, ""Value"": -3}, {""Stat"": 61, ""Value"": 187}, {""Stat"": 57, ""Value"": -5}, {""Stat"": 61, ""Value"": 246}, {""Stat"": 57, ""Value"": -7}, {""Stat"": 61, ""Value"": 307}, {""Stat"": 57, ""Value"": -9}, {""Stat"": 61, ""Value"": 368}, {""Stat"": 57, ""Value"": -11}, {""Stat"": 61, ""Value"": 427}, {""Stat"": 57, ""Value"": -13}, {""Stat"": 61, ""Value"": 486}, {""Stat"": 57, ""Value"": -15}, {""Stat"": 61, ""Value"": 547}, {""Stat"": 57, ""Value"": -17}, {""Stat"": 61, ""Value"": 608}, {""Stat"": 57, ""Value"": -19}, {""Stat"": 61, ""Value"": 667}, {""Stat"": 57, ""Value"": -21}]",A gem that can be found in a dungeon. {nl}It is able to enhance equipment by equipping it in a socket. {nl}When charged it exerts a stronger power. Right-click to equip it to an equipment.,item_icon_dia150,"[642117, 642117, 642117, 642117, 642117, 642117, 642117, 642117, 642117, 642145, 642153]","[642905, 642907, 642909, 642913, 642918, 642919, 642921, 642922]","[{""Chance"": 100, ""Map"": 1061, ""Quantity_MAX"": 1, ""Quantity_MIN"": 1}, {""Chance"": 100, ""Map"": 1281, ""Quantity_MAX"": 1, ""Quantity_MIN"": 1}]",,"[{""Chance"": 0.0, ""Monster"": 41209, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 41348, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 41382, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 57860, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 47323, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 47502, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 2.76, ""Monster"": 400323, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 57067, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 57076, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 57079, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 57091, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 57096, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 57115, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 57311, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]","[14023, 30374, 34022]",,,Green Gem,100,0.0,0.0,TTFT,12,1,1.0
643504,gem_star_1,,,"[{""Stat"": 60, ""Value"": 128}, {""Stat"": 18, ""Value"": -40}, {""Stat"": 60, ""Value"": 187}, {""Stat"": 18, ""Value"": -58}, {""Stat"": 60, ""Value"": 246}, {""Stat"": 18, ""Value"": -77}, {""Stat"": 60, ""Value"": 307}, {""Stat"": 18, ""Value"": -96}, {""Stat"": 60, ""Value"": 368}, {""Stat"": 18, ""Value"": -115}, {""Stat"": 60, ""Value"": 427}, {""Stat"": 18, ""Value"": -133}, {""Stat"": 60, ""Value"": 486}, {""Stat"": 18, ""Value"": -152}, {""Stat"": 60, ""Value"": 547}, {""Stat"": 18, ""Value"": -171}, {""Stat"": 60, ""Value"": 608}, {""Stat"": 18, ""Value"": -190}, {""Stat"": 60, ""Value"": 667}, {""Stat"": 18, ""Value"": -208}]",,"[{""Stat"": 60, ""Value"": 128}, {""Stat"": 18, ""Value"": -40}, {""Stat"": 60, ""Value"": 187}, {""Stat"": 18, ""Value"": -58}, {""Stat"": 60, ""Value"": 246}, {""Stat"": 18, ""Value"": -77}, {""Stat"": 60, ""Value"": 307}, {""Stat"": 18, ""Value"": -96}, {""Stat"": 60, ""Value"": 368}, {""Stat"": 18, ""Value"": -115}, {""Stat"": 60, ""Value"": 427}, {""Stat"": 18, ""Value"": -133}, {""Stat"": 60, ""Value"": 486}, {""Stat"": 18, ""Value"": -152}, {""Stat"": 60, ""Value"": 547}, {""Stat"": 18, ""Value"": -171}, {""Stat"": 60, ""Value"": 608}, {""Stat"": 18, ""Value"": -190}, {""Stat"": 60, ""Value"": 667}, {""Stat"": 18, ""Value"": -208}]",A gem that can be found in a dungeon. {nl}It is able to enhance equipment by equipping it in a socket. {nl}When charged it exerts a stronger power. Right-click to equip it to an equipment.,item_icon_star150,"[642086, 642145]","[642905, 642907, 642909, 642913, 642918, 642919, 642921, 642922]","[{""Chance"": 100, ""Map"": 1061, ""Quantity_MAX"": 1, ""Quantity_MIN"": 1}]",,"[{""Chance"": 0.0, ""Monster"": 41209, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 41348, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 41382, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 57860, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 47323, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 47502, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 57067, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 57076, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 57079, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 57091, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 57096, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 57115, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.0, ""Monster"": 57311, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]","[31019, 31020]",,,Yellow Gem,100,0.0,0.0,TTFT,12,1,1.0
643505,gem_star_test,,,"[{""Stat"": 63, ""Value"": 2}, {""Stat"": 60, ""Value"": -1}, {""Stat"": 63, ""Value"": 4}, {""Stat"": 60, ""Value"": -2}, {""Stat"": 63, ""Value"": 8}, {""Stat"": 60, ""Value"": -5}, {""Stat"": 63, ""Value"": 14}, {""Stat"": 60, ""Value"": -8}, {""Stat"": 63, ""Value"": 22}, {""Stat"": 60, ""Value"": -13}, {""Stat"": 63, ""Value"": 32}, {""Stat"": 60, ""Value"": -19}, {""Stat"": 63, ""Value"": 44}, {""Stat"": 60, ""Value"": -26}, {""Stat"": 63, ""Value"": 58}, {""Stat"": 60, ""Value"": -35}, {""Stat"": 63, ""Value"": 74}, {""Stat"": 60, ""Value"": -44}, {""Stat"": 63, ""Value"": 92}, {""Stat"": 60, ""Value"": -55}]",,"[{""Stat"": 63, ""Value"": 2}, {""Stat"": 60, ""Value"": -1}, {""Stat"": 63, ""Value"": 4}, {""Stat"": 60, ""Value"": -2}, {""Stat"": 63, ""Value"": 8}, {""Stat"": 60, ""Value"": -5}, {""Stat"": 63, ""Value"": 14}, {""Stat"": 60, ""Value"": -8}, {""Stat"": 63, ""Value"": 22}, {""Stat"": 60, ""Value"": -13}, {""Stat"": 63, ""Value"": 32}, {""Stat"": 60, ""Value"": -19}, {""Stat"": 63, ""Value"": 44}, {""Stat"": 60, ""Value"": -26}, {""Stat"": 63, ""Value"": 58}, {""Stat"": 60, ""Value"": -35}, {""Stat"": 63, ""Value"": 74}, {""Stat"": 60, ""Value"": -44}, {""Stat"": 63, ""Value"": 92}, {""Stat"": 60, ""Value"": -55}]",A gem that can be found in a dungeon. {nl}It is able to enhance equipment by equipping it in a socket. {nl}When charged it exerts a stronger power. Right-click to equip it to an equipment.,item_icon_twentyside150,,,,,,,,,Test Gem,100,0.0,0.0,TTFT,12,1,1.0
643506,Gem_Swordman_Thrust,"[{""Stat"": ""Thrust Skill Lvl + 1""}]","[{""Stat"": ""Thrust Skill Lvl + 1""}]",,"[{""Stat"": ""Thrust Skill Lvl + 1""}]",,Can enhance equipment by equipping the gem in a socket of equipment. Cannot be used with the same effect simultaneously. Right-click to insert it to an equipment. ,icon_item_sklgem_swordman,,,,,"[{""Chance"": 0.02, ""Monster"": 58008, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.02, ""Monster"": 400041, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]",,,10001,Thrust Gem,100,0.0,0.0,TTFT,12,0,1.0
643507,Gem_Swordman_Bash,"[{""Stat"": ""Bash Skill Lvl + 1""}]","[{""Stat"": ""Bash Skill Lvl + 1""}]",,"[{""Stat"": ""Bash Skill Lvl + 1""}]",,Can enhance equipment by equipping the gem in a socket of equipment. Cannot be used with the same effect simultaneously. Right-click to insert it to an equipment. ,icon_item_sklgem_swordman,,,,,"[{""Chance"": 0.02, ""Monster"": 41280, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.01, ""Monster"": 58093, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]",,,10002,Bash Gem,100,0.0,0.0,TTFT,12,0,1.0
643508,Gem_Swordman_GungHo,"[{""Stat"": ""Gung Ho Skill Lvl + 1""}]","[{""Stat"": ""Gung Ho Skill Lvl + 1""}]",,"[{""Stat"": ""Gung Ho Skill Lvl + 1""}]",,Can enhance equipment by equipping the gem in a socket of equipment. Cannot be used with the same effect simultaneously. Right-click to insert it to an equipment. ,icon_item_sklgem_swordman,,,,,"[{""Chance"": 0.02, ""Monster"": 58094, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.02, ""Monster"": 41257, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]",,,10003,Gun Ho Gem,100,0.0,0.0,TTFT,12,0,1.0
643509,Gem_Swordman_Concentrate,"[{""Stat"": ""Concentrate Skill Lvl + 1""}]","[{""Stat"": ""Concentrate Skill Lvl + 1""}]",,"[{""Stat"": ""Concentrate Skill Lvl + 1""}]",,Can enhance equipment by equipping the gem in a socket of equipment. Cannot be used with the same effect simultaneously. Right-click to insert it to an equipment. ,icon_item_sklgem_swordman,,,,,,,,10004,Deleted Gem,100,0.0,0.0,TTFT,12,0,1.0
643510,Gem_Swordman_PainBarrier,"[{""Stat"": ""Pain Barrier Skill Lvl + 1""}]","[{""Stat"": ""Pain Barrier Skill Lvl + 1""}]",,"[{""Stat"": ""Pain Barrier Skill Lvl + 1""}]",,Can enhance equipment by equipping the gem in a socket of equipment. Cannot be used with the same effect simultaneously. Right-click to insert it to an equipment. ,icon_item_sklgem_swordman,,,,,"[{""Chance"": 0.02, ""Monster"": 41295, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}, {""Chance"": 0.02, ""Monster"": 58705, ""Quantity_MAX"": 0, ""Quantity_MIN"": 0}]",,,10005,Pain Barrier Gem,100,0.0,0.0,TTFT,12,0,1.0
