$ID,$ID_NAME,Description,DescriptionRequired,Icon,IsToggleable,LevelMax,Link_Jobs,Link_Skills,Name,Unlock,UnlockArgs,UpgradePrice
10015,DaggerMastery,* 配戴短劍中，每特性等級傷害增加4%(使用副欄位時，必須要配戴2把短劍才會完全套用，配戴1個時只會套用一半。){nl},{nl}{b}角色1級以上{b},ability_common_daggermastery,False,5,[5010],,掌握短劍：急襲,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""5010"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}",
10018,MaxWeightAbil,* 特性每升一級，角色物品欄的可攜帶重量+20{nl},{nl}{b}角色1級以上{b}{nl}{b}角色1級以上{b}{nl}{b}角色1級以上{b}{nl}{b}角色1級以上{b},ability_common_maxweightabil,False,10,"[3005, 4002, 4007, 5006]",,最大重量增加,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""3005"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}, ""4002"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}, ""4007"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}, ""5006"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}",
10019,CompMastery1,* 寵物的耐力消耗周期時間每特性等級{nl}    增加10秒{nl},{nl}{b}角色1級以上{b},ability_common_compmastery1,False,5,[3014],,掌握寵物：毅力,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""3014"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}",
10020,CompMastery2,* 寵物的HP在50%以下時2秒內獲得[緊急治療]效果{nl}    HP持續恢復{nl}* 從2級開始持續時間每特性等級增加1{nl}* [緊急治療]以後10分內變成[無法緊急治療]狀態{nl},{nl}{b}角色1級以上{b}{nl}{b}角色1級以上{b},ability_common_compmastery2,False,4,"[3002, 3014]",,寵物緊急治療,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""3002"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}, ""3014"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}",
10026,THMace_SR,* 廣域攻擊比率增加5{nl},{nl}{b}角色100級以上{b},ability_cleric_thmace2,False,1,[4011],,掌握純器：聖殿十字軍,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""4011"": {""UnlockArgNum"": ""100"", ""UnlockArgStr"": """"}}",
10027,THMace_BLKBREAK,* 格擋貫穿增加85{nl},{nl}{b}角色100級以上{b},ability_cleric_thmace,False,1,[4009],,掌握純器：武僧,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""4009"": {""UnlockArgNum"": ""100"", ""UnlockArgStr"": """"}}",
10028,SwordMastery_DEForATK,* 同時配戴[盾牌]和[單手武器]時， 武器攻擊力的 20%會轉換為物理防禦力。{nl}* (主欄位和副欄位會重覆套用數值){nl},{nl}{b}角色100級以上{b},ability_warrior_sword2,False,1,[1001],,掌握盾牌：劍士,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""1001"": {""UnlockArgNum"": ""100"", ""UnlockArgStr"": """"}}",
10033,StaffMastery_Splash,* 廣域攻擊比率增加6{nl}* [法師：神速]特性和群組特性{nl},{nl}{b}角色1級以上{b},ability_wizard_thstaff,True,1,[2001],,法師：廣域,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""2001"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}",
10034,StaffMastery_Casting,* 施法時間減少50%{nl}* [法師：廣域]特性和群組特性{nl},{nl}{b}角色1級以上{b},ability_wizard_staffmastery,True,1,[2001],,法師：神速,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""2001"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}",
10036,CompMastery3,* 透過怪物使用的廣域攻擊，寵物受到的傷害最多減少70%。{nl},{nl}{b}角色1級以上{b},ability_common_compmastery1,False,1,[3002],,掌握寵物：迴避,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""3002"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}",
10037,CompMastery4,* 寵物的防禦力及體力增加25%{nl}* 寵物的攻擊力減少25%{nl},{nl}{b}角色1級以上{b},ability_archer_hunter3,True,1,[3002],,掌握寵物：忍耐,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""3002"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}",
10038,CompMastery5,* 寵物的攻擊力增加25%{nl}* 寵物的體力減少25%{nl},{nl}{b}角色1級以上{b},ability_common_compmastery5,True,1,[3002],,掌握寵物：虎牙,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""3002"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}",
