$ID,$ID_NAME,Description,DescriptionRequired,Icon,IsToggleable,LevelMax,Link_Jobs,Link_Skills,Name,Unlock,UnlockArgs,UpgradePrice
10015,DaggerMastery,"* Damage increases by 4% per attribute level when equipping dagger (When using the second slot, applied totally only when equipping 2 daggers. Half of the value is applied when equipping one){nl}",{nl}{b}Character Lv 1 and above{b},ability_common_daggermastery,False,5,[5010],,Dagger Mastery: Sudden Attack,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""5010"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}",
10018,MaxWeightAbil,* Increases the character's maximum inventory weight by 20 per attribute level{nl},{nl}{b}Character Lv 1 and above{b}{nl}{b}Character Lv 1 and above{b}{nl}{b}Character Lv 1 and above{b}{nl}{b}Character Lv 1 and above{b},ability_common_maxweightabil,False,10,"[3005, 4002, 4007, 5006]",,Increased Maximum Weight,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""3005"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}, ""4002"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}, ""4007"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}, ""5006"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}",
10019,CompMastery1,* Increases stamina consumption cycle of companion by 10 seconds per attribute level{nl},{nl}{b}Character Lv 1 and above{b},ability_common_compmastery1,False,5,[3014],,Companion Mastery: Tenacity,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""3014"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}",
10020,CompMastery2,"* When companion HP is below 50%, activates [First Aid] effect to recover HP for 2 seconds{nl}Duration is increased by 1 second per attribute level from Lv. 2{nl}[First Aid] cannot be used for another 10 minutes after being activated{nl}",{nl}{b}Character Lv 1 and above{b}{nl}{b}Character Lv 1 and above{b},ability_common_compmastery2,False,4,"[3002, 3014]",,Companion First Aid,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""3002"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}, ""3014"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}",
10026,THMace_SR,* AoE Attack Ratio +5{nl},{nl}{b}Character Lv 100 and above{b},ability_cleric_thmace2,False,1,[4011],,Blunt Mastery: Paladin,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""4011"": {""UnlockArgNum"": ""100"", ""UnlockArgStr"": """"}}",
10027,THMace_BLKBREAK,* Block Penetration +85{nl},{nl}{b}Character Lv 100 and above{b},ability_cleric_thmace,False,1,[4009],,Blunt Mastery: Monk,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""4009"": {""UnlockArgNum"": ""100"", ""UnlockArgStr"": """"}}",
10028,SwordMastery_DEForATK,* 10% of Weapon ATK is applied as the Physical Defense when equipping [One-handed weapon] with [Shield]{nl}* (Value is applied both to the main and second slot){nl},{nl}{b}Character Lv 100 and above{b},ability_warrior_sword2,False,1,[1001],,Shield Mastery: Swordsman,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""1001"": {""UnlockArgNum"": ""100"", ""UnlockArgStr"": """"}}",
10033,StaffMastery_Splash,* AoE Ratio +6{nl}* Group attribute with [Wizard: Haste]{nl},{nl}{b}Character Lv 1 and above{b},ability_wizard_thstaff,True,1,[2001],,Wizard: AoE,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""2001"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}",
10034,StaffMastery_Casting,* Casting Time -50%{nl}* Group attribute with [Wizard: AoE]{nl},{nl}{b}Character Lv 1 and above{b},ability_wizard_staffmastery,True,1,[2001],,Wizard: Haste,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""2001"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}",
10036,CompMastery3,* Companion's damage received by the monster's AoE attack decreases up to 70%{nl},{nl}{b}Character Lv 1 and above{b},ability_common_compmastery1,False,1,[3002],,Companion Mastery: Evasion,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""3002"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}",
