$ID,$ID_NAME,Armor,Description,Element,Icon,Level,Link_Items,Link_Maps,Name,Race,Rank,Size,Stat_CON,Stat_DEX,Stat_INT,Stat_SPR,Stat_STR,Type
10001,Stone,5,The Quarrel Shooter uses it sometimes.,6,icon_item_nothing,1,,"[{""Map"": 1151, ""Population"": 1, ""TimeRespawn"": 60.0}]",Stone,,2,0,2,2,2,2,2,0
10005,Bomb,5,"It seems the name is unique, but the effect is similar to another bomb.",6,icon_item_nothing,1,,"[{""Map"": 3830, ""Population"": 0, ""TimeRespawn"": 60.0}]",Vubbe Extermination Bomb,,2,0,2,2,2,2,2,0
10006,Bomb_Score,5,Monster,6,icon_item_nothing,1,,,Bomb Score,,2,0,2,2,2,2,2,0
10007,Bomb_Defence,5,Monster,6,icon_item_nothing,1,,,Time Bomb,,2,0,2,2,2,2,2,0
10008,Bomb_Sin,5,Monster,6,icon_item_nothing,1,,,Time Bomb,,2,0,2,2,2,2,2,0
10009,StoneOBB,5,Monster,6,icon_item_nothing,1,,,OBB stone,,2,0,2,2,2,2,2,0
10010,Wizard_M,5,Monster,6,icon_item_nothing,1,,,Male Wizard,,2,0,2,2,2,2,2,0
10011,Bomb_RokasMission,5,Monster,6,icon_item_nothing,1,,,Canyon Bomb,,2,0,2,2,2,2,2,0
10015,Wizard_F,5,Monster,6,icon_item_nothing,1,,,Female Wizard,,2,0,2,2,2,2,2,0
10016,Symbol_defence,5,Monster,6,icon_item_nothing,1,,,Damaged Seal,,2,0,2,2,2,2,2,0
10018,Symbol_sin,5,Monster,6,icon_item_nothing,1,,,Symbol of Sin,,2,0,2,2,2,2,2,0
10019,Symbol_Rescue,5,Monster,6,icon_item_nothing,1,,,(Temporary) Prison Control Device,,2,0,2,2,2,2,2,0
10020,SCS_M2_Mon,5,Monster,6,icon_item_nothing,1,,"[{""Map"": 3760, ""Population"": 20, ""TimeRespawn"": 60.0}]",Security Guard,,2,0,2,2,2,2,2,0
10021,SCS_M2_Mon_DeadAin,5,Monster,6,icon_item_nothing,1,,,Collapsed Guard,,2,0,2,2,2,2,2,0
10022,SCS_M2_Mon_Guard,5,Monster,6,icon_item_nothing,1,,"[{""Map"": 1021, ""Population"": 1, ""TimeRespawn"": 0.001}, {""Map"": 1231, ""Population"": 1, ""TimeRespawn"": 60.0}, {""Map"": 3350, ""Population"": 3, ""TimeRespawn"": 60.0}]",Siauliai Guard,,2,0,2,2,2,2,2,0
10023,Aos_Soldier,5,Monster,6,icon_item_nothing,1,,"[{""Map"": 1082, ""Population"": 10, ""TimeRespawn"": 60.0}, {""Map"": 1311, ""Population"": 0, ""TimeRespawn"": 60.0}, {""Map"": 1511, ""Population"": 0, ""TimeRespawn"": 60.0}]",Mercenary,,2,0,2,2,2,2,2,0
10028,Aos_Hero_Arc,5,Monster,6,icon_item_nothing,1,,,Mercenary Officer,,2,0,2,2,2,2,2,0
10029,Aos_Hero_War,5,Monster,6,icon_item_nothing,1,,,Condottiere,,2,0,2,2,2,2,2,0
