$ID,$ID_NAME,Description,DescriptionRequired,Icon,IsToggleable,LevelMax,Link_Jobs,Link_Skills,Name,Unlock,UnlockArgs,UpgradePrice
10015,DaggerMastery,* 短剣装着中、特性レベルごとにダメージ4%アップ。（サブスロットを使用しているときには短剣を2つ装着した場合にのみ100％適用される。1つのみ装着した場合には半減して適用）{nl},{nl}{b}キャラクター1レベル以上{b},ability_common_daggermastery,False,5,[5010],,短剣マスタリ：急襲,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""5010"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}",
10018,MaxWeightAbil,*キャラクターインベントリの持ち運べる重さが特性レベルにつき20アップ{nl},{nl}{b}キャラクター1レベル以上{b}{nl}{b}キャラクター1レベル以上{b}{nl}{b}キャラクター1レベル以上{b}{nl}{b}キャラクター1レベル以上{b},ability_common_maxweightabil,False,10,"[3005, 4002, 4007, 5006]",,最大重量アップ,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""3005"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}, ""4002"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}, ""4007"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}, ""5006"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}",
10019,CompMastery1,*コンパニオンのスタミナが消耗する周期時間が特性レベル1につき10秒アップ{nl},{nl}{b}キャラクター1レベル以上{b},ability_common_compmastery1,False,5,[3014],,コンパニオンマスタリ：根気,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""3014"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}",
10020,CompMastery2,*コンパニオンのHPが50%以下の時、2秒間[応急治療]効果を受けてHPを持続的に回復{nl}*2レベルから持続時間が特性レベル1につき1秒ずつアップ{nl}*[応急治療]以後、10分間[応急治療不可]状態{nl},{nl}{b}キャラクター1レベル以上{b}{nl}{b}キャラクター1レベル以上{b},ability_common_compmastery2,False,4,"[3002, 3014]",,コンパニオン応急治療,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""3002"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}, ""3014"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}",
10026,THMace_SR,* 広域攻撃比率5アップ{nl},{nl}{b}キャラクター100レベル以上{b},ability_cleric_thmace2,False,1,[4011],,鈍器マスタリ：パラディン,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""4011"": {""UnlockArgNum"": ""100"", ""UnlockArgStr"": """"}}",
10027,THMace_BLKBREAK,* ブロック貫通85アップ{nl},{nl}{b}キャラクター100レベル以上{b},ability_cleric_thmace,False,1,[4009],,鈍器マスタリ：モンク,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""4009"": {""UnlockArgNum"": ""100"", ""UnlockArgStr"": """"}}",
10028,SwordMastery_DEForATK,* [盾]と一緒に[片手武器]を装着すると、武器攻撃力の10%を物理防御力として適用する。{nl}* （数値はメインスロットとサブスロット重複適用される。）{nl},{nl}{b}キャラクター100レベル以上{b},ability_warrior_sword2,False,1,[1001],,盾マスタリ：ソードマン,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""1001"": {""UnlockArgNum"": ""100"", ""UnlockArgStr"": """"}}",
10033,StaffMastery_Splash,* 広域攻撃比率6増加{nl}* [ウィザード：迅速]特性とグループ特性{nl},{nl}{b}キャラクター1レベル以上{b},ability_wizard_thstaff,True,1,[2001],,ウィザード：広域,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""2001"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}",
10034,StaffMastery_Casting,* キャスティングタイム50%減少{nl}* [ウィザード：広域]特性とグループ特性{nl},{nl}{b}キャラクター1レベル以上{b},ability_wizard_staffmastery,True,1,[2001],,ウィザード：迅速,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""2001"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}",
10036,CompMastery3,* モンスターからの広域攻撃によるコンパニオンの被ダメージが最大70%軽減{nl},{nl}{b}キャラクター1レベル以上{b},ability_common_compmastery1,False,1,[3002],,コンパニオンマスタリ：回避,"[""var pcBaseLevel = TryGetProp(pc, \""Lv\"")"", """", ""if (pcBaseLevel >= limitLevel) {"", ""    return \""UNLOCK\"";"", ""}"", """", ""return \""LOCK_GRADE\"";""]","{""3002"": {""UnlockArgNum"": ""1"", ""UnlockArgStr"": """"}}",
